light_id,x,y,z,status,hits,bounce0_nodes,bounce1_nodes,contributions
259,0.394,2.162,0.369,SCENE_VALID,1,1,0,0
260,0.023,1.816,-0.387,SCENE_VALID,1,1,0,0
261,-0.384,2.029,0.249,SCENE_VALID,0,0,0,0
262,-0.198,2.155,-0.010,SCENE_VALID,1,1,1,0
263,0.294,1.812,-0.233,SCENE_VALID,1,1,0,0
264,0.331,2.040,0.382,SCENE_VALID,1,1,1,0
265,-0.143,2.147,-0.376,SCENE_VALID,1,1,0,0
266,-0.396,1.808,0.218,SCENE_VALID,1,1,0,0
267,-0.038,2.050,0.028,SCENE_VALID,1,1,0,0
268,0.379,2.140,-0.263,SCENE_VALID,1,1,0,0
269,0.210,1.805,0.392,SCENE_VALID,1,1,0,0
270,-0.283,2.061,-0.362,SCENE_VALID,1,1,1,0
271,-0.340,2.132,0.185,SCENE_VALID,0,0,0,0
272,0.129,1.803,0.066,SCENE_VALID,1,1,0,0
273,0.398,2.072,-0.291,SCENE_VALID,1,1,0,0
274,0.053,2.123,0.398,SCENE_VALID,1,1,0,0
275,-0.374,1.801,-0.344,SCENE_VALID,1,1,1,0
276,-0.223,2.082,0.151,SCENE_VALID,1,1,0,0
277,0.272,2.114,0.103,SCENE_VALID,1,1,1,0
278,0.347,1.800,-0.315,SCENE_VALID,1,1,0,0
279,-0.114,2.092,0.400,SCENE_VALID,1,1,0,0
280,-0.399,2.105,-0.323,SCENE_VALID,1,1,1,0
281,-0.068,1.800,0.115,SCENE_VALID,1,1,0,0
282,0.368,2.102,0.140,SCENE_VALID,1,1,1,0
283,0.236,2.095,-0.337,SCENE_VALID,1,1,1,0
284,-0.261,1.800,0.399,SCENE_VALID,1,1,0,0
285,-0.355,2.111,-0.299,SCENE_VALID,1,1,1,0
286,0.100,2.085,0.078,SCENE_VALID,0,0,0,0
287,0.400,1.801,0.175,SCENE_VALID,1,1,0,0
288,0.083,2.120,-0.356,SCENE_VALID,1,1,0,0
289,-0.362,2.075,0.394,SCENE_VALID,1,1,0,0
290,-0.248,1.803,-0.272,SCENE_VALID,1,1,0,0
291,0.249,2.129,0.040,SCENE_VALID,1,1,0,0
292,0.361,2.064,0.208,SCENE_VALID,1,1,0,0
293,-0.085,1.805,-0.372,SCENE_VALID,1,1,0,0
294,-0.400,2.137,0.385,SCENE_VALID,1,1,0,0
295,-0.097,2.054,-0.243,SCENE_VALID,1,1,0,0
296,0.356,1.807,0.002,SCENE_VALID,1,1,1,0
297,0.259,2.145,0.240,SCENE_VALID,1,1,0,0
298,-0.238,2.043,-0.384,SCENE_VALID,1,1,0,0
299,-0.367,1.811,0.373,SCENE_VALID,1,1,1,0
300,0.070,2.153,-0.211,SCENE_VALID,1,1,0,0
301,0.399,2.032,-0.036,SCENE_VALID,1,1,0,0
302,0.112,1.814,0.269,SCENE_VALID,1,1,0,0
303,-0.348,2.160,-0.393,SCENE_VALID,1,1,0,0
304,-0.271,2.021,0.358,SCENE_VALID,1,1,0,0
305,0.225,1.819,-0.178,SCENE_VALID,1,1,0,0
306,0.373,2.166,-0.074,SCENE_VALID,1,1,1,0
307,-0.055,2.010,0.296,SCENE_VALID,1,1,1,0
308,-0.398,1.824,-0.398,SCENE_VALID,1,1,0,0
309,-0.126,2.172,0.339,SCENE_VALID,1,1,1,0
310,0.341,1.998,-0.143,SCENE_VALID,1,1,0,0
311,0.282,1.830,-0.111,SCENE_VALID,1,1,0,2
312,-0.213,2.178,0.320,SCENE_VALID,1,1,1,0
313,-0.378,1.987,-0.400,SCENE_VALID,1,1,0,0
314,0.040,1.836,0.318,SCENE_VALID,1,1,0,0
315,0.397,2.182,-0.107,SCENE_VALID,1,1,0,0
316,0.141,1.976,-0.147,SCENE_VALID,0,0,0,0
317,-0.333,1.842,0.342,SCENE_VALID,1,1,0,0
318,-0.292,2.187,-0.398,SCENE_VALID,1,1,0,0
319,0.200,1.965,0.293,SCENE_VALID,1,1,1,0
320,0.383,1.849,-0.070,SCENE_VALID,1,1,0,0
321,-0.025,2.190,-0.182,SCENE_VALID,0,0,0,0
322,-0.394,1.954,0.360,SCENE_VALID,1,1,1,0
323,-0.155,1.857,-0.392,SCENE_VALID,1,1,0,0
324,0.324,2.194,0.266,SCENE_VALID,1,1,0,0
325,0.302,1.943,-0.032,SCENE_VALID,1,1,0,0
326,-0.186,1.865,-0.215,SCENE_VALID,1,1,1,0
327,-0.387,2.196,0.375,SCENE_VALID,1,1,1,0
328,0.010,1.933,-0.383,SCENE_VALID,1,1,0,0
329,0.392,1.873,0.236,SCENE_VALID,1,1,0,0
330,0.168,2.198,0.006,SCENE_VALID,1,1,0,0
331,-0.315,1.922,-0.246,SCENE_VALID,1,1,0,0
332,-0.312,1.882,0.387,SCENE_VALID,1,1,0,0
333,0.173,2.199,-0.370,SCENE_VALID,1,1,0,0
334,0.391,1.912,0.204,SCENE_VALID,1,1,0,0
335,0.005,1.891,0.045,SCENE_VALID,1,1,0,0
336,-0.388,2.200,-0.275,SCENE_VALID,1,1,0,0
337,-0.182,1.902,0.395,SCENE_VALID,1,1,1,0
338,0.305,1.901,-0.354,SCENE_VALID,1,1,0,0
339,0.321,2.200,0.170,SCENE_VALID,1,1,0,0
340,-0.159,1.893,0.082,SCENE_VALID,1,1,1,0
341,-0.394,1.911,-0.302,SCENE_VALID,1,1,1,0
342,-0.020,2.199,0.399,SCENE_VALID,1,1,0,0
343,0.384,1.883,-0.335,SCENE_VALID,1,1,0,0
344,0.195,1.921,0.135,SCENE_VALID,0,0,0,0
345,-0.295,2.198,0.119,SCENE_VALID,1,1,0,0
346,-0.330,1.875,-0.325,SCENE_VALID,1,1,0,0
347,0.145,1.931,0.400,SCENE_VALID,1,1,0,0
348,0.396,2.196,-0.313,SCENE_VALID,1,1,0,0
349,0.035,1.866,0.099,SCENE_VALID,1,1,0,0
350,-0.380,1.942,0.155,SCENE_VALID,1,1,0,0
351,-0.208,2.194,-0.346,SCENE_VALID,1,1,0,0
352,0.285,1.858,0.397,SCENE_VALID,1,1,0,0
353,0.338,1.953,-0.287,SCENE_VALID,1,1,1,0
354,-0.131,2.191,0.061,SCENE_VALID,1,1,1,0
355,-0.398,1.850,0.189,SCENE_VALID,1,1,1,0
356,-0.050,1.964,-0.364,SCENE_VALID,1,1,0,0
357,0.375,2.187,0.391,SCENE_VALID,1,1,1,0
358,0.221,1.843,-0.260,SCENE_VALID,1,1,0,0
359,-0.274,1.975,0.023,SCENE_VALID,1,1,1,0
360,-0.346,2.183,0.222,SCENE_VALID,0,0,0,0
361,0.117,1.837,-0.378,SCENE_VALID,1,1,0,0
362,0.399,1.986,0.381,SCENE_VALID,1,1,1,0
363,0.065,2.178,-0.229,SCENE_VALID,1,1,0,0
364,-0.369,1.830,-0.015,SCENE_VALID,1,1,0,0
365,-0.234,1.997,0.253,SCENE_VALID,1,1,0,0
366,0.263,2.173,-0.389,SCENE_VALID,1,1,1,0
367,0.353,1.825,0.367,SCENE_VALID,1,1,0,0
368,-0.102,2.008,-0.197,SCENE_VALID,0,0,0,0
369,-0.400,2.167,-0.053,SCENE_VALID,1,1,0,0
370,-0.080,1.820,0.281,SCENE_VALID,1,1,0,0
371,0.363,2.019,-0.396,SCENE_VALID,1,1,0,0
